,23,7,13,21,5,12,19,3,17,1,8,15,22,6,20,4,11,18,2,9,16,0
2,0.1767,-0.0032,0.0008,-0.0006,-0.0029,0.001,-0.0018,-0.0027,-0.0028,-0.0027,0.0017,-0.0033,-0.0002,0.0017,0.0,0.0018,-0.0035,0.0003,0.0024,-0.0034,0.0006,0.0024
3,0.0026,0.2301,0.0001,0.0028,-0.0008,0.0004,0.0029,-0.0013,0.003,-0.0015,0.001,0.003,-0.0012,0.0012,-0.001,0.0014,0.0025,-0.0008,0.0016,0.0017,-0.0001,0.0018
4,-0.001,-0.0003,0.2141,-0.001,-0.0002,0.0008,-0.0009,0.0,-0.0008,0.0001,-0.0005,-0.0009,0.001,-0.0007,0.0011,-0.0008,-0.0008,0.0011,-0.0009,-0.0004,0.0011,-0.001
5,0.0014,-0.0033,0.0008,0.2248,-0.003,0.0011,-0.0007,-0.0027,-0.002,-0.0025,0.0016,-0.003,-0.0003,0.0018,-0.0001,0.002,-0.0035,0.0002,0.0025,-0.0034,0.0006,0.0025
6,0.0027,0.0018,-0.0,0.0029,0.2252,0.0003,0.0031,-0.0006,0.0032,-0.0012,0.0008,0.0033,-0.0014,0.0011,-0.0012,0.0013,0.0032,-0.0006,0.0016,0.0026,-0.0004,0.0017
7,-0.001,-0.0003,0.0012,-0.001,-0.0002,0.2172,-0.0009,-0.0001,-0.0012,0.0,0.0,-0.0008,0.0008,-0.0004,0.0011,-0.0008,-0.0006,0.0011,-0.0007,-0.0004,0.0011,-0.0007
8,0.0016,-0.0032,0.0007,0.0014,-0.003,0.0009,0.2259,-0.0028,-0.001,-0.0025,0.0015,-0.0023,-0.0005,0.0017,-0.0002,0.0023,-0.0033,0.0001,0.0024,-0.0033,0.0004,0.0025
9,0.003,0.0029,-0.0002,0.0033,0.0019,0.0001,0.0034,0.2264,0.0037,-0.0007,0.0007,0.0039,-0.0019,0.001,-0.0012,0.0013,0.004,-0.0011,0.0016,0.0036,-0.0006,0.0018
11,0.0019,-0.003,0.0005,0.0016,-0.0028,0.0008,0.0014,-0.0027,0.229,-0.0024,0.0014,-0.0011,-0.0006,0.0019,-0.0003,0.002,-0.0029,0.0,0.0022,-0.003,0.0002,0.0024
12,0.0032,0.0041,-0.0007,0.0035,0.0033,-0.0004,0.0037,0.0024,0.0041,0.2266,0.0004,0.0043,-0.002,0.0008,-0.002,0.0011,0.0047,-0.0016,0.0014,0.0046,-0.0011,0.0017
13,-0.0012,-0.0004,0.0019,-0.0012,-0.0002,0.0019,-0.0012,-0.0,-0.0012,0.0001,0.2162,-0.001,0.0014,0.0005,0.0016,-0.0002,-0.0007,0.0017,-0.0003,-0.0005,0.0019,-0.0005
14,0.0022,-0.0027,0.0003,0.0021,-0.0027,0.0006,0.0019,-0.0025,0.0016,-0.0023,0.0018,0.2278,-0.0007,0.0019,-0.0004,0.0021,-0.0023,-0.0002,0.0022,-0.0027,0.0001,0.0023
15,-0.0007,-0.0002,-0.001,-0.0006,-0.0001,-0.0013,-0.0005,-0.0,-0.0004,0.0002,-0.0015,-0.0003,0.2172,-0.0015,0.001,-0.0014,-0.0002,0.0003,-0.0013,-0.0002,-0.0004,-0.0013
16,-0.0025,-0.0005,0.0033,-0.0025,-0.0001,0.0032,-0.0024,0.0002,-0.0019,0.0004,0.0018,-0.0016,0.0025,0.1769,0.0026,-0.0011,-0.001,0.0029,-0.0016,-0.0007,0.0031,-0.002
18,-0.0009,-0.0003,-0.0009,-0.0009,-0.0002,-0.0014,-0.0008,0.0002,-0.0007,0.0003,-0.0017,-0.0006,0.0007,-0.0017,0.2164,-0.0016,-0.0004,0.0005,-0.0015,-0.0004,-0.0002,-0.0015
19,-0.0027,-0.0005,0.0034,-0.0026,-0.0003,0.0035,-0.0022,0.0001,-0.002,0.0003,0.0026,-0.0016,0.0024,0.0017,0.0027,0.175,-0.0011,0.003,-0.001,-0.0008,0.0032,-0.0016
20,0.0023,-0.0019,-0.0001,0.0023,-0.0021,0.0007,0.0024,-0.0021,0.0023,-0.0021,0.0011,0.0021,-0.001,0.0014,-0.0008,0.0016,0.2269,-0.0006,0.0017,-0.0013,-0.0003,0.0019
21,-0.0009,-0.0004,-0.0001,-0.0009,-0.0001,-0.0008,-0.0008,0.0001,-0.0007,0.0002,-0.0013,-0.0007,0.0007,-0.0014,0.0007,-0.0014,-0.0006,0.2152,-0.0013,-0.0005,0.0007,-0.0012
22,-0.0031,-0.0007,0.0039,-0.0026,-0.0004,0.004,-0.0025,-0.0001,-0.0022,0.0002,0.0036,-0.0018,0.0027,0.0028,0.003,0.0016,-0.0013,0.0033,0.183,-0.0011,0.0037,-0.0011
23,0.0025,-0.0011,0.0002,0.0026,-0.0017,0.0004,0.0027,-0.0018,0.0027,-0.0019,0.0011,0.0027,-0.0011,0.0013,-0.0009,0.0015,0.0018,-0.0007,0.0017,0.2273,-0.0005,0.0019
24,-0.0009,-0.0002,0.0008,-0.0008,-0.0001,-0.0001,-0.0008,-0.0,-0.0007,0.0001,-0.0009,-0.0007,0.0008,-0.001,0.0008,-0.0011,-0.0006,0.0008,-0.0011,-0.0005,0.216,-0.0011
25,-0.003,-0.0009,0.0042,-0.0029,-0.0006,0.0042,-0.0026,-0.0002,-0.0024,0.0002,0.0042,-0.0021,0.0027,0.0037,0.0031,0.0026,-0.0015,0.0035,0.0014,-0.0012,0.0039,0.1767
